0,293,2
0,874,4
0,13,8
0,239,12
0,944,4
0,83,2
0,309,10
1,832,4
1,74,4
1,596,4
1,490,4
2,421,56
2,106,16
2,17,8
2,51,4
2,180,32
2,24,16
2,883,64
2,124,8
3,545,2
3,451,12
3,488,12
3,252,2
3,395,2
3,1020,20
3,317,2
3,562,2
3,649,8
3,984,2
3,282,2
3,476,2
3,506,2
3,215,12
4,896,80
4,513,40
4,898,20
4,996,6
4,357,56
4,257,8
4,429,60
4,15,10
4,51,10
4,247,32
5,672,64
5,68,48
5,421,56
5,516,8
5,616,8
5,970,8
5,302,8
5,17,8
5,914,16
5,78,8
5,216,8
5,985,8
5,954,8
5,714,8
5,101,24
6,512,48
6,133,112
6,393,28
6,914,64
6,27,6
6,231,48
6,672,96
6,36,32
6,51,16
6,222,6
6,573,16
6,576,48
6,160,40
6,839,32
6,80,32
6,81,48
6,723,128
6,88,156
6,857,16
6,606,10
6,720,112
6,614,10
6,359,24
6,616,32
6,875,48
6,369,24
6,883,22
6,1015,40
6,126,12
7,705,2
7,995,4
7,421,14
7,17,2
7,394,4
7,493,2
7,461,2
7,977,8
7,281,12
8,897,10
8,43,8
8,777,2
8,523,8
8,269,12
8,270,6
8,239,6
8,144,8
8,17,44
8,914,24
8,171,28
8,404,4
8,917,10
8,918,4
8,793,14
8,921,4
8,282,4
8,923,28
8,956,64
8,672,82
8,802,4
8,411,4
8,421,336
8,552,12
8,427,10
8,954,2
8,302,36
8,605,2
8,688,10
8,253,4
8,53,4
8,27,6
8,312,8
8,803,6
8,607,16
8,509,4
8,637,16
8,573,2
8,702,2
8,447,12
8,448,2
8,68,12
8,712,8
8,74,8
8,244,2
8,591,2
8,721,2
8,547,4
8,980,64
8,854,54
8,343,14
8,216,2
8,346,6
8,975,6
8,220,10
8,349,2
8,606,10
8,863,4
8,995,4
8,356,106
8,614,10
8,616,12
8,60,48
8,746,10
8,363,10
8,365,2
8,751,2
8,753,10
8,627,2
8,372,10
8,1013,4
8,63,2
8,106,18
8,510,2
8,127,8
9,1016,4
9,83,12
9,220,8
9,941,4
10,865,32
10,771,64
10,284,64
10,650,64
10,108,96
10,444,32
11,737,16
11,803,24
11,199,16
11,456,8
11,106,72
11,332,8
11,429,184
12,769,6
12,98,26
12,516,12
12,421,98
12,866,44
12,302,8
12,591,6
12,17,14
12,920,6
12,911,6
12,445,24
12,581,28
13,293,34
13,874,32
13,613,40
13,1007,8
13,944,16
13,657,6
13,309,64
13,239,48
13,773,16
14,378,4
14,780,2
15,896,80
15,513,40
15,898,20
15,996,24
15,357,50
15,257,40
15,362,80
15,591,2
15,112,10
15,51,10
15,86,50
15,900,50
16,968,20
16,234,8
16,938,2
16,187,2
16,427,10
17,516,10
17,522,40
17,523,6
17,514,12
17,527,12
17,18,2
17,394,4
17,533,32
17,534,6
17,24,4
17,27,12
17,541,4
17,545,14
17,546,8
17,35,4
17,549,2
17,42,6
17,557,2
17,558,4
17,562,14
17,51,12
17,854,24
17,53,52
17,566,4
17,567,2
17,569,4
17,572,70
17,574,2
17,63,4
17,66,10
17,580,8
17,581,8
17,583,2
17,585,4
17,74,30
17,239,32
17,866,8
17,78,2
17,591,4
17,592,18
17,81,16
17,594,4
17,596,4
