Año,Fecha,Latitud,Longitud,Título de la Noticia,Muertos,Url
2012, 26 de Diciembre  ,25.678193,-100.470106, Acribillan a hombre en Santa Catarina  ,1, http://www.elnorte.com/seguridad/articulo/723/1444412/
2012, 20 de Diciembre  ,25.698714,-100.454586, Matan pistoleros a 7 en 14 horas ,7, http://www.elnorte.com/seguridad/articulo/722/1443137/
2012, 15 de Diciembre  ,25.674794,-100.420296, Le quitan la vida a limpiavidrios ,1, http://www.elnorte.com/seguridad/articulo/721/1441680/
2012, 13 de Diciembre  ,25.687335,-100.439683, Mata sicario a un taxista ,1, http://www.elnorte.com/seguridad/articulo/721/1441133/
2012, 9 de Diciembre  ,25.689464,-100.425703, La sacan de bar para ejecutarla ,1, http://www.elnorte.com/seguridad/Articulo/720/1439851/
2012, 16 de Diciembre  ,26.659711,-99.986935, Muere en enfrentamiento ,1, http://www.elnorte.com/seguridad/Articulo/721/1441890/
2012, 28 de Diciembre  ,26.549376,-100.127678, Muere en balacera  ,1, http://www.elnorte.com/seguridad/articulo/723/1444954/
2012, 5 de Diciembre  ,27.254324,-100.142097, Hallan en An&#225;huac a un entambado ,1, http://www.elnorte.com/seguridad/articulo/720/1438347/
2012, 22 de Noviembre  ,25.629996,-100.08914, Entierran a dos tras levantarlos ,2, http://www.elnorte.com/seguridad/articulo/718/1434888/
2012, 18 de Noviembre  ,25.651012,-100.115518, Muere en tiroteo con polic&#237;as en Ju&#225;rez ,1, http://www.elnorte.com/seguridad/articulo/717/1433704/
2012, 13 de Noviembre  ,25.596406,-100.157633, Encuentran en Ju&#225;rez cuerpo semienterrado ,1, http://www.elnorte.com/seguridad/articulo/717/1432200/
2012, 7 de Noviembre  ,25.664474,-100.087202, Detienen a implicado en crimen de 11 polis ,11, http://www.elnorte.com/seguridad/articulo/716/1430291/
2012, 4 de Noviembre  ,25.718014,-100.261701, Ejecutan sicarios a 3 en San Nicol&#225;s  ,3, http://www.elnorte.com/seguridad/articulo/715/1429297/
2012, 30 de Noviembre  ,25.636332,-100.287699, Lo matan de 2 balazos en la cabeza ,1, http://www.elnorte.com/seguridad/articulo/719/1437544/
2012, 20 de Noviembre  ,25.755176,-100.359614, Lo ejecutan en camioneta ,1, http://www.elnorte.com/seguridad/Articulo/718/1434184/
2012, 17 de Noviembre  ,25.707666,-100.329595, Matan a inocente y hieren a otros 4 ,1, http://www.elnorte.com/seguridad/articulo/717/1433384/
2012, 16 de Noviembre  ,25.653713,-100.318823, Ejecutan a familia en Independencia ,3, http://www.elnorte.com/seguridad/articulo/717/1433162/
2012, 14 de Noviembre  ,25.747651,-100.342877, Lo matan a balazos en tienda ,1, http://www.elnorte.com/seguridad/articulo/717/1432484/
2012, 12 de Noviembre  ,25.667745,-100.290617, Torturan y ejecutan a hombre ,1, http://www.elnorte.com/seguridad/articulo/716/1431839/
2012, 29 de Noviembre  ,25.674398,-100.264277, Ejecutan a taxista tres encapuchados ,1, http://www.elnorte.com/seguridad/articulo/719/1436921/
2012, 25 de Noviembre  ,25.681331,-100.191278, Muere baleada en Guadalupe ,1, http://www.elnorte.com/seguridad/articulo/718/1435590/
2012, 21 de Noviembre  ,25.656609,-100.270591, Asesinan a chofer de cami&#243;n urbano ,1, http://www.elnorte.com/seguridad/articulo/718/1434490/
2012, 27 de Noviembre  ,25.803021,-100.385084, Abaten a asaltante en enfrentamiento ,1, http://www.elnorte.com/seguridad/articulo/719/1436266/
2012, 23 de Noviembre  ,25.783614,-100.33748, Ejecutan en Escobedo a 2 ex polic&#237;as cesados ,2, http://www.elnorte.com/seguridad/Articulo/718/1435204/
2012, 7 de Noviembre  ,25.790038,-100.318356, Lo matan de 7 balazos ,1, http://www.elnorte.com/seguridad/articulo/716/1430302/
2012, 3 de Noviembre  ,25.79851,-100.333468, Matan en bald&#237;o a un levantado ,1, http://www.elnorte.com/seguridad/articulo/715/1429112/
2012, 2 de Noviembre  ,25.772021,-100.316699, Matan a hombre afuera de tienda ,1, http://www.elnorte.com/seguridad/articulo/715/1428826/
2012, 8 de Noviembre  ,25.936697,-100.362373, Caen menores por 3 muertes ,3, http://www.elnorte.com/seguridad/articulo/716/1430652/
2012, 21 de Noviembre  ,25.114668,-99.808044, Hallan a otro en Linares ,1, http://www.elnorte.com/seguridad/articulo/718/1434506/
2012, 29 de Noviembre  ,25.741843,-100.515461, Hallan a asesinado  ,1, http://www.elnorte.com/seguridad/articulo/719/1436921/
2012, 13 de Noviembre  ,25.754754,-100.497093, Lo matan a balazos en tienda ,1, http://www.elnorte.com/seguridad/articulo/717/1432484/
