Año,Día,Localidad,Latitud,Longitud,Título,Muertos,Heridos,Detenidos,Liberados,Decomisos
2012, 18 de Septiembre , Monterrey ,25.65644,-100.323608, Lo asesinan encapuchados en su casa ,0,0,0,0,0
2012, 17 de Septiembre , Monterrey ,25.65872,-100.317516, Descuartizan a una mujer ,0,0,0,0,0
2012, 17 de Septiembre , Monterrey ,25.594847,-100.263868, Hallan tercer asesinado en el mismo terreno ,0,0,0,0,0
2012, 16 de Septiembre , Monterrey ,25.682858,-100.305197, Ejecutan sicarios a 2 en table de Madero ,0,0,0,0,0
2012, 16 de Septiembre , Monterrey ,25.670592,-100.365176, Matan a mujer tras torturarla ,0,0,0,0,0
2012, 15 de Septiembre , Monterrey ,25.738983,-100.193982,  Atacan taller; ejecutan a 4 en Solidaridad ,0,0,0,0,0
2012, 14 de Septiembre , Monterrey ,25.65872,-100.317516, Persiguen y ejecutan a joven ,0,0,0,0,0
2012, 13 de Septiembre , Monterrey ,25.585479,-100.255802, Atacan bases: matan a mujer y 5 taxistas ,0,0,0,0,0
2012, 13 de Septiembre , Monterrey ,25.654525,-100.314682, Atacan bases: matan a mujer y 5 taxistas ,0,0,0,0,0
2012, 12 de Septiembre , Monterrey ,25.75397,-100.376459, Levantan y matan a 3 en San Bernabe; ,0,0,0,0,0
2012, 11 de Septiembre , Monterrey ,25.700261,-100.31962, Lo ejecutan tras ser levantado ,0,0,0,0,0
2012, 11 de Septiembre , Monterrey ,25.685227,-100.38004, Encuentran ejecutada a otra mujer ,0,0,0,0,0
2012, 11 de Septiembre , Monterrey ,25.681137,-100.305176, Ejecutan a 2 en el Centro  ,0,0,0,0,0
2012, 11 de Septiembre , Monterrey ,25.666762,-100.286656, Atacan servicar; matan a uno ,0,0,0,0,0
2012, 10 de Septiembre , Monterrey ,25.587607,-100.253858, Encuentran ejecutada a otra mujer ,0,0,0,0,0
2012, 10 de Septiembre , Monterrey ,25.692198,-100.263167, Acribillan sicarios a padre y a su hijo ,0,0,0,0,0
2012, 7 de Septiembre , Monterrey ,25.690303,-100.302247, Asesinan a una mujer ,0,0,0,0,0
2012, 7 de Septiembre , Monterrey ,25.618833,-100.302536, Lo ejecutan en el Cerro del Mirador ,0,0,0,0,0
2012, 6 de Septiembre , Monterrey ,25.647649,-100.3073, Decapitan a 2 ,0,0,0,0,0
2012, 5 de Septiembre , Monterrey ,25.728584,-100.327063, Atacan depositos; ejecutan a 4 ,0,0,0,0,0
