Año,Fecha,Latitud,Longitud,Título de la Noticia,Muertos,URL
2013, 25 de Diciembre  ,25.6857798,-100.2833178, Abaten ministeriales a dos en Monterrey ,2, http://www.elnorte.com/seguridad/Articulo/780/1558249/
2013, 11 de Diciembre  ,25.655705,-100.324788, Tiran cad&#225;ver en un monte ,1, http://www.elnorte.com/seguridad/articulo/778/1554569/
2013, 7 de Diciembre  ,25.657262,-100.328259, Bajan con fusiles y ejecutan a tres ,3, http://www.elnorte.com/seguridad/articulo/777/1553399/
2013, 14 de Diciembre  ,25.785,-100.0511111, Matan a tiros a cantinero ,1, http://www.elnorte.com/seguridad/Articulo/778/1555519/
2013, 19 de Diciembre  ,25.755339,-100.132018, Reparan camioneta y sicarios los matan ,2, http://www.elnorte.com/seguridad/articulo/779/1556977/
2013, 17 de Diciembre  ,25.727064,-100.175405, Matan a 2 en cancha de Apodaca ,2, http://www.elnorte.com/seguridad/articulo/779/1556387/
2013, 13 de Diciembre  ,25.759754,-100.155404, Tratan de levantarla se resiste y la matan,1, http://www.elnorte.com/seguridad/articulo/778/1555278/
2013, 2 de Diciembre  ,25.773605,-100.261027, Tiran en Apodaca cabeza de mujer ,1, http://www.elnorte.com/seguridad/articulo/776/1551756/
2013, 1 de Diciembre  ,25.934929,-100.363455, Atan y asesinan a un secuestrado ,1, http://www.elnorte.com/seguridad/articulo/776/1551754/
2013, 26 de Diciembre  ,23.6773342,-100.1828301, Abaten polic&#237;as a 3 en Doctor Arroyo ,3, http://www.elnorte.com/seguridad/articulo/780/1558502/
2013, 13 de Diciembre  ,25.712437,-100.547529, Abaten a 4 en Garc&#237;a ,4, http://www.elnorte.com/seguridad/articulo/778/1555277/
2013, 9 de Diciembre  ,25.799891,-100.622406, Muere por una golpiza tras ser levantado ,1, http://www.elnorte.com/seguridad/articulo/777/1553949/
2013, 25 de Diciembre  ,25.6685405,-100.4615679, Encuentran cuerpo sepultado en bald&#237;o ,1, http://www.elnorte.com/seguridad/Articulo/780/1558214/
2013, 18 de Diciembre  ,25.573259,-99.988031, Abaten a 4 sicarios y liberan a plagiada ,4, http://www.elnorte.com/seguridad/articulo/779/1556669/
2013, 12 de Diciembre  ,25.5934201,-99.9901032, Termina una fiesta con dos ejecutados ,2, http://www.elnorte.com/seguridad/articulo/778/1555278/
2013, 26 de Noviembre  ,25.724009,-100.214021, Falla agente y lo matan ,1, http://www.elnorte.com/seguridad/articulo/775/1549891/
2013, 9 de Noviembre  ,25.757711,-100.306485, Matan a pareja y la encajuelan ,2, http://www.elnorte.com/seguridad/articulo/773/1544601/
2013, 30 de Noviembre  ,25.7082555,-100.3203215, Matan a polic&#237;a de Fuerza Civil ,1, http://www.elnorte.com/seguridad/Articulo/776/1551194/
2013, 25 de Noviembre  ,25.708304,-100.324616, Ejecutan a conductor desde otro veh&#237;culo ,1, http://www.elnorte.com/seguridad/articulo/775/1549582/
2013, 23 de Noviembre  ,25.665753,-100.29916, Levantan a joven; lo matan a balazo ,1, http://www.elnorte.com/seguridad/articulo/775/1549011/
2013, 22 de Noviembre  ,25.617017,-100.264929, Lo acribillan por la espalda ,1, http://www.elnorte.com/seguridad/articulo/775/1548809/
2013, 17 de Noviembre  ,25.741795,-100.351052, Lo tiran en bolsas de auto ,1, http://www.elnorte.com/seguridad/articulo/774/1547078/
2013, 12 de Noviembre  ,25.7137065,-100.3259337, Lo bajan de auto y lo ejecutan ,1, http://www.elnorte.com/seguridad/Articulo/773/1545489/
2013, 2 de Noviembre  ,25.7044133,-100.2817471, Hallan un ejecutado en la Col. Coyoac&#225;n ,1, http://www.elnorte.com/seguridad/Articulo/772/1542521/
2013, 27 de Noviembre  ,25.743225,-100.174461, Lo matan frente a 10 ni&#241;os ,1, http://www.elnorte.com/seguridad/articulo/776/1550270/
2013, 23 de Noviembre  ,25.760204,-100.248887, Lo asesinan de tres tiros ,1, http://www.elnorte.com/seguridad/articulo/775/1549013/
2013, 20 de Noviembre  ,25.78401,-100.237992, Abaten a matapolic&#237;as ,1, http://www.elnorte.com/seguridad/articulo/774/1547999/
